C,gamma,epsilon,validation_loss,mee
95.5,0.01,0.01,1.5508572897478303,1.3361231083416902
10.0,0.019,0.01,1.5465235093696694,1.337325015151323
91.0,0.01,0.01,1.5540724991033341,1.3377640260317323
86.5,0.01,0.01,1.557278973104687,1.339394083676879
82.0,0.01,0.01,1.5614605463353868,1.3417776821992469
19.0,0.015,0.01,1.5591358232417236,1.3427815869836717
77.5,0.01,0.01,1.565350590737883,1.3440160372641987
73.0,0.01,0.01,1.5682538528702041,1.3455877256821673
68.5,0.01,0.01,1.5720446371896202,1.3473413312033446
64.0,0.01,0.01,1.5772146187899467,1.3496717889756742
59.5,0.01,0.01,1.5828604276543878,1.352544057395883
55.0,0.01,0.01,1.5883265320390005,1.3553023541835776
14.5,0.015,0.01,1.5831373033908818,1.356958891332935
50.5,0.01,0.01,1.5939141797423817,1.358740111309719
46.0,0.01,0.01,1.5993955450320967,1.3626493927018033
41.5,0.01,0.01,1.6068789498401315,1.3674715557167618
37.0,0.01,0.01,1.617082352819274,1.3734719758633676
32.5,0.01,0.01,1.6281697392385155,1.379352251656797
10.0,0.015,0.01,1.615651996195057,1.3800174179006885
28.0,0.01,0.01,1.6411315125030506,1.3887344804670003
23.5,0.01,0.01,1.6576650982674506,1.4012829766589874
19.0,0.01,0.01,1.680030085248633,1.4159812540888321
14.5,0.01,0.01,1.7075762896350597,1.4357461075846787
10.0,0.01,0.01,1.762794380382051,1.4732377406137656
