C,gamma,epsilon,validation_loss,mee
59.5,0.033,0.01,1.4091316460639074,1.2583592006077626
55.0,0.033,0.01,1.410430275864818,1.2598254197893162
23.5,0.037,0.01,1.404269145403822,1.2604367028729009
50.5,0.033,0.01,1.4102188414787404,1.2604417995615953
46.0,0.033,0.01,1.4090386290874528,1.2610012714323464
19.0,0.037,0.01,1.4042091616618162,1.261794948594674
41.5,0.033,0.01,1.4088184209224122,1.26239751626395
37.0,0.033,0.01,1.4099614152261755,1.2641287085524322
14.5,0.037,0.01,1.4085049989205993,1.2654041664531148
32.5,0.033,0.01,1.412279625676195,1.2664762172427797
28.0,0.033,0.01,1.4144705276182719,1.2686452126762224
100.0,0.028,0.01,1.4274708031201229,1.2692528682116564
95.5,0.028,0.01,1.4276542790958375,1.269639689036575
23.5,0.033,0.01,1.4150004469023103,1.2700092560876648
91.0,0.028,0.01,1.4272335956306041,1.270137323563904
86.5,0.028,0.01,1.4283014036047612,1.2709810329392512
82.0,0.028,0.01,1.4294873740406973,1.2720206257091988
19.0,0.033,0.01,1.4195150291023066,1.272326221342602
77.5,0.028,0.01,1.4297268236508667,1.272701846508754
73.0,0.028,0.01,1.4288836703730377,1.2732012831313864
10.0,0.037,0.01,1.421577600280985,1.27341975832212
68.5,0.028,0.01,1.4275260068554074,1.273650659068294
64.0,0.028,0.01,1.4271420333948424,1.274288367276839
59.5,0.028,0.01,1.427097111381085,1.2747685564647295
55.0,0.028,0.01,1.426809634150192,1.2749020131253068
50.5,0.028,0.01,1.4272073781361228,1.2759512280025218
46.0,0.028,0.01,1.428118727707928,1.2771470463765664
14.5,0.033,0.01,1.4289442736741038,1.2771674978090846
41.5,0.028,0.01,1.429245843998855,1.2786075335793596
37.0,0.028,0.01,1.4302546171221044,1.2798385405601935
32.5,0.028,0.01,1.4325517325369623,1.2812542904933304
28.0,0.028,0.01,1.4385307853573366,1.2837707729556833
100.0,0.024,0.01,1.4460197712061673,1.2853464288830003
95.5,0.024,0.01,1.4456120991277885,1.2855777919156453
91.0,0.024,0.01,1.4457056382186289,1.2860067956458565
23.5,0.028,0.01,1.4445829079849482,1.2861674510763883
77.5,0.024,0.01,1.4432459962836393,1.2861940231182243
82.0,0.024,0.01,1.4441514511504638,1.2862941388705145
73.0,0.024,0.01,1.442746777582298,1.2863194730675966
86.5,0.024,0.01,1.4451358297725396,1.286390910949986
68.5,0.024,0.01,1.4432500241674722,1.2869650978178753
10.0,0.033,0.01,1.4506409247522098,1.2871381599264988
64.0,0.024,0.01,1.4432898354973345,1.2876059964039759
59.5,0.024,0.01,1.4441765213795217,1.2886038092934307
55.0,0.024,0.01,1.4459118249645901,1.2898728911045507
50.5,0.024,0.01,1.4479288163589863,1.291051949235451
19.0,0.028,0.01,1.4559295299121604,1.2914156248012476
46.0,0.024,0.01,1.4513989568118886,1.2926509371762789
41.5,0.024,0.01,1.454407425400419,1.2937359168094105
37.0,0.024,0.01,1.4570555840944701,1.2943371939287576
32.5,0.024,0.01,1.4614377025068528,1.2963004615203282
14.5,0.028,0.01,1.472681309830865,1.298574563128483
28.0,0.024,0.01,1.4713000140714054,1.2997676524615562
100.0,0.019,0.01,1.4682235929612402,1.3042380254045165
23.5,0.024,0.01,1.4826879219070517,1.3042972387899894
95.5,0.019,0.01,1.4693974229575117,1.3047436248362114
91.0,0.019,0.01,1.470467322299731,1.3052094502289266
86.5,0.019,0.01,1.4718479042938648,1.305855138026375
10.0,0.028,0.01,1.4935676126143154,1.3061445466938577
82.0,0.019,0.01,1.4738775723673154,1.3063769825218075
77.5,0.019,0.01,1.4765163043939857,1.30730107753369
73.0,0.019,0.01,1.4790907310950656,1.3081224122203794
68.5,0.019,0.01,1.482188919700348,1.3093170572336792
19.0,0.024,0.01,1.4955246116935006,1.3098194915146943
64.0,0.019,0.01,1.4862744153058849,1.3108585735231704
59.5,0.019,0.01,1.4892618368484356,1.3119757774576457
55.0,0.019,0.01,1.4917213783856482,1.312865977548414
50.5,0.019,0.01,1.4948452137179988,1.3139824829362532
46.0,0.019,0.01,1.499102926330949,1.3157588140251424
14.5,0.024,0.01,1.514433317203327,1.3162323717111488
41.5,0.019,0.01,1.5044454156419287,1.3175634862632768
37.0,0.019,0.01,1.512276793281643,1.3198040608996193
32.5,0.019,0.01,1.5226361031158153,1.323630834388488
100.0,0.015,0.01,1.5143158005741575,1.3257156901324012
95.5,0.015,0.01,1.5164301979752624,1.3264057725860166
91.0,0.015,0.01,1.5187459849508025,1.3274006737600577
28.0,0.019,0.01,1.5329198653567,1.3275680948201376
10.0,0.024,0.01,1.541052411630392,1.3278020057406705
86.5,0.015,0.01,1.5214647762177111,1.3284475540773244
82.0,0.015,0.01,1.5247368075540058,1.329553049253753
77.5,0.015,0.01,1.5277593209383726,1.3303201802720392
73.0,0.015,0.01,1.531087570155727,1.3312077352278846
68.5,0.015,0.01,1.5341296603023846,1.3317151553052935
23.5,0.019,0.01,1.544605553360871,1.331832097868209
64.0,0.015,0.01,1.5383365010224774,1.3326862369080292
59.5,0.015,0.01,1.5434133090305933,1.334465423399492
55.0,0.015,0.01,1.5483462550357174,1.3365311171481145
19.0,0.019,0.01,1.5589332053769347,1.3369515836940102
50.5,0.015,0.01,1.5551156306454537,1.3391453547123684
46.0,0.015,0.01,1.5614682481375886,1.3418650828245182
41.5,0.015,0.01,1.5680526882638812,1.344207311709415
37.0,0.015,0.01,1.5749133180128447,1.3463240532580016
14.5,0.019,0.01,1.5823417756522604,1.3471118672022857
32.5,0.015,0.01,1.582702641760993,1.3497342339507785
28.0,0.015,0.01,1.592737217010182,1.353865908787368
23.5,0.015,0.01,1.6072109645981714,1.360570217637565
100.0,0.01,0.01,1.6088604352171236,1.3644850684017626
10.0,0.019,0.01,1.615918406196097,1.3645235753340532
95.5,0.01,0.01,1.6116696164698245,1.3658012657966072
91.0,0.01,0.01,1.6153027312381978,1.3672286908995805
86.5,0.01,0.01,1.6174676891125581,1.3680200690287831
82.0,0.01,0.01,1.6202207891793772,1.3689046719730207
77.5,0.01,0.01,1.6234832355600926,1.3697446078651643
19.0,0.015,0.01,1.629253478999755,1.3705278976404516
73.0,0.01,0.01,1.6274684868170721,1.3712337074165053
68.5,0.01,0.01,1.6311210117758357,1.372937848612069
64.0,0.01,0.01,1.6352557913081978,1.3748068707386858
59.5,0.01,0.01,1.6406751392918841,1.377381865703489
55.0,0.01,0.01,1.6485335276777076,1.380678873108857
50.5,0.01,0.01,1.6575096887966478,1.3845679142879717
14.5,0.015,0.01,1.6576366808330947,1.3850306047063226
46.0,0.01,0.01,1.6681942551340792,1.3894022397853105
41.5,0.01,0.01,1.6777396532120468,1.393873630957991
37.0,0.01,0.01,1.688613229944533,1.399143578860053
32.5,0.01,0.01,1.7002343155183994,1.4057879235498016
10.0,0.015,0.01,1.6924825331290356,1.4075113775236505
28.0,0.01,0.01,1.7169331033164075,1.415712011601253
23.5,0.01,0.01,1.7352490305929866,1.4268284721720939
19.0,0.01,0.01,1.7536170441947672,1.44008598353963
14.5,0.01,0.01,1.7793095046495457,1.4569832858046698
10.0,0.01,0.01,1.8365421405388758,1.4937814019670368
