n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
50,4,2,1,True,2,0.0,1.7613154623602916,1.4359452636627774
100,4,2,1,True,1,0.0,1.7568856936050223,1.4404157398845827
100,4,2,1,True,2,0.0,1.74700825616379,1.43268796937285
1000,4,2,1,True,1,0.0,1.7287260922969243,1.4269995345026145
1000,4,2,1,True,2,0.0,1.7148258922919206,1.422439540301642
10,4,3,1,True,1,0.0,1.8890177097451357,1.500797281357013
10,4,3,1,True,2,0.0,1.8833792512038774,1.4727803467263751
50,4,3,1,True,1,0.0,1.7433670776847523,1.4380040552921338
50,4,3,1,True,2,0.0,1.7613154623602916,1.4359452636627774
100,4,3,1,True,1,0.0,1.7569418307692217,1.4403955935075694
100,4,3,1,True,2,0.0,1.747276075824014,1.4329435749464563
1000,4,3,1,True,1,0.0,1.7287371169069892,1.4269887871646605
1000,4,3,1,True,2,0.0,1.7149281542220876,1.422508378623229
10,4,4,1,True,1,0.0,1.8890177097451357,1.500797281357013
10,4,4,1,True,2,0.0,1.8833792512038774,1.4727803467263751
50,4,4,1,True,1,0.0,1.7433670776847523,1.4380040552921338
50,4,4,1,True,2,0.0,1.7613154623602916,1.4359452636627774
100,4,4,1,True,1,0.0,1.7569418307692217,1.4403955935075694
100,4,4,1,True,2,0.0,1.746997188399569,1.43276769156325
1000,4,4,1,True,1,0.0,1.728740917985798,1.4269901290287008
1000,4,4,1,True,2,0.0,1.7149690536140578,1.4225180452390642
10,4,2,2,True,1,0.0,1.8944153151629939,1.5020429884756128
10,4,2,2,True,2,0.0,1.8718199004873328,1.467748164938799
50,4,2,2,True,1,0.0,1.7517379331431013,1.440999441801949
50,4,2,2,True,2,0.0,1.7572142708529577,1.4328336197583176
100,4,2,2,True,1,0.0,1.760911221450834,1.4424639932969985
100,4,2,2,True,2,0.0,1.7421976628917046,1.4302780831030366
1000,4,2,2,True,1,0.0,1.7278194701877763,1.425876679026863
1000,4,2,2,True,2,0.0,1.7138859762542784,1.4210591135523292
10,4,3,2,True,1,0.0,1.8944153151629939,1.5020429884756128
10,4,3,2,True,2,0.0,1.8718199004873328,1.467748164938799
50,4,3,2,True,1,0.0,1.7517379331431013,1.440999441801949
50,4,3,2,True,2,0.0,1.7572142708529577,1.4328336197583176
100,4,3,2,True,1,0.0,1.760911221450834,1.4424639932969985
